Date,Product type,SKU,Price,Availability,Number of products sold,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
2023-01-07,haircare,SKU49,39.6089042988545,69,29,Unknown,78,12,42,1,Carrier B,16.38402720542866,Supplier 2,Kolkata,856,19,61.96171656557982,Fail,2.1414699769626107,Road,Route C,171.91181191293344,Summer,1.4655764455062505
2023-01-07,haircare,SKU50,74.55602473096187,76,25,Non-binary,86,9,17,1,Carrier A,20.98139540557038,Supplier 2,Delhi,464,13,36.631493156461616,Pass,1.253294457972009,Air,Route C,163.25369526075218,Spring,0.9256069552380777
2023-01-08,haircare,SKU47,95.54367276863942,142,65,Non-binary,33,11,35,5,Carrier A,24.11850471433343,Supplier 4,Mumbai,530,15,68.51640394539007,Fail,1.4093726723918159,Air,Route B,301.70796150028855,Winter,0.9389167807759812
2023-01-08,skincare,SKU48,45.643322628904066,59,60,Non-binary,99,14,31,6,Carrier C,10.674848659152023,Supplier 2,Bangalore,893,10,56.79764030908073,Fail,2.272666274415528,Rail,Route C,152.48719323287852,Spring,1.3402415844052935
2023-01-08,skincare,SKU49,40.9047391848167,149,55,Unknown,31,9,23,1,Carrier B,12.310761817353024,Supplier 2,Kolkata,633,18,59.066901044360804,Fail,1.6979424498841733,Road,Route B,286.5064067949926,Winter,1.2831505851829001
2023-01-08,skincare,SKU50,35.98260318254978,147,37,Non-binary,43,10,43,5,Carrier A,23.54376448465112,Supplier 2,Bangalore,485,18,48.00783752048895,Pass,2.925708267124432,Rail,Route C,245.26829957751454,Fall,1.2532335243296067
2023-01-09,skincare,SKU47,35.91712050857944,124,34,Unknown,43,2,25,3,Carrier B,16.308565404385966,Supplier 1,Bangalore,574,16,34.2633169433155,Pass,1.0758149442013305,Rail,Route B,265.86679928836475,Summer,1.163426081535778
2023-01-09,skincare,SKU48,70.51711020980841,67,45,Male,26,5,31,6,Carrier A,21.477759240393475,Supplier 4,Mumbai,511,12,47.950356842345705,Pending,1.9569663336017749,Rail,Route A,333.2055695643125,Spring,1.1944680124503226
2023-01-09,skincare,SKU49,74.24399212298223,96,20,Non-binary,96,7,40,1,Carrier C,19.49000030519462,Supplier 1,Mumbai,594,17,64.50846215232198,Fail,1.6361032519191583,Rail,Route C,331.64330348948005,Fall,0.8523283966604156
2023-01-09,haircare,SKU50,85.10932487670405,83,65,Non-binary,97,1,21,1,Carrier B,28.3385265798064,Supplier 4,Delhi,680,18,52.16091900807079,Pass,2.983218120851599,Road,Route A,187.12592687102438,Winter,1.4829664932630586
2023-01-10,haircare,SKU47,51.1504575983177,95,44,Non-binary,69,5,24,4,Carrier A,24.19734305163937,Supplier 3,Bangalore,748,18,31.953697315680248,Pass,1.631041951422302,Road,Route C,289.8221948686065,Fall,1.2633520932783793
2023-01-10,skincare,SKU48,79.37458527393034,107,42,Male,70,2,35,2,Carrier A,27.63078017285347,Supplier 2,Bangalore,443,18,34.31386576649699,Pending,1.6299362296876052,Rail,Route C,151.2225332096973,Fall,0.927266448018229
2023-01-10,haircare,SKU49,36.330840418171285,54,61,Unknown,21,8,32,2,Carrier C,18.112274530226152,Supplier 2,Mumbai,792,7,50.055156474603685,Pass,2.998935566962908,Air,Route C,337.70986320045483,Fall,1.1666975571327565
2023-01-10,skincare,SKU50,66.8314114193092,79,44,Male,35,11,45,3,Carrier A,18.425153289966673,Supplier 3,Bangalore,662,5,56.542338142998524,Pass,0.533073110054759,Road,Route C,336.84159546374997,Winter,1.3552217471132484
2023-01-11,haircare,SKU47,42.81305348256186,121,18,Non-binary,73,6,32,3,Carrier A,29.57147441369664,Supplier 3,Delhi,842,17,50.18498207897041,Pending,1.382766631772502,Rail,Route B,253.3378445005299,Spring,1.2229751713210784
2023-01-11,haircare,SKU48,48.6333742164265,125,31,Male,43,3,38,2,Carrier A,24.85192602677161,Supplier 4,Kolkata,591,15,42.880880710866876,Pending,2.350094276187957,Road,Route B,295.4786842968801,Winter,1.28706889566606
2023-01-11,skincare,SKU49,53.31678832526495,139,51,Female,40,5,20,4,Carrier C,25.996710157883193,Supplier 3,Mumbai,489,16,65.0649251098632,Pass,2.868760069608928,Road,Route B,218.03860533310635,Spring,1.4477071047377563
2023-01-11,skincare,SKU50,66.04720802342996,84,32,Non-binary,64,10,31,5,Carrier B,23.965779550955403,Supplier 3,Bangalore,477,14,55.23087191630182,Pass,2.1065256397740244,Road,Route A,279.32774910547084,Spring,1.0921962569975276
2023-01-12,haircare,SKU47,76.86365821294987,142,60,Female,51,11,48,5,Carrier B,16.007086273132956,Supplier 4,Delhi,585,5,55.32388238559378,Fail,2.69898214195006,Road,Route A,200.79056603132753,Summer,1.486124971405257
2023-01-12,skincare,SKU48,85.95278246250857,93,27,Male,97,8,25,1,Carrier C,29.115901324246845,Supplier 4,Delhi,548,5,31.64607901305725,Pending,2.392255278249091,Rail,Route A,251.44930943230054,Summer,1.1831970779669014
2023-01-12,haircare,SKU49,92.71206245516912,80,40,Non-binary,97,11,23,2,Carrier C,26.059138399771285,Supplier 4,Kolkata,405,8,52.334693886121,Pending,2.800454125418997,Rail,Route A,182.85401061540284,Spring,1.0484941116409765
2023-01-12,skincare,SKU50,35.32710867948748,107,53,Unknown,37,4,37,4,Carrier B,28.695782614464548,Supplier 1,Delhi,807,6,58.600140938601584,Pass,2.119346415199705,Air,Route A,184.46473322199472,Fall,1.3890888478668808
2023-01-13,haircare,SKU47,73.50939362554533,119,63,Unknown,74,11,25,5,Carrier B,18.332707920830956,Supplier 3,Bangalore,557,13,43.096205924795235,Pass,2.844695900914973,Rail,Route B,283.88046597382345,Winter,1.367172612977418
2023-01-13,skincare,SKU48,85.07588418402808,122,64,Female,68,12,40,4,Carrier A,22.493142163719238,Supplier 1,Delhi,877,10,63.287300398622094,Pending,2.8962736401238267,Road,Route C,342.89221116759234,Fall,0.9960181597202138
2023-01-13,skincare,SKU49,53.9674765070166,86,48,Male,81,6,15,4,Carrier A,22.22341269999839,Supplier 1,Mumbai,682,19,50.08106968454013,Fail,1.0655209019183047,Rail,Route B,327.6016552832576,Winter,0.897012168198054
2023-01-13,haircare,SKU50,88.14917788987385,85,11,Female,65,14,13,6,Carrier C,25.346712163803378,Supplier 2,Delhi,973,10,38.68316390564255,Pending,1.8616567000854705,Road,Route B,204.3490708849111,Spring,1.3801724640414021
2023-01-14,haircare,SKU47,86.79191320680538,148,37,Unknown,72,12,19,4,Carrier A,10.899680181733036,Supplier 2,Bangalore,408,18,55.61181636254291,Pass,1.822252971453558,Rail,Route C,225.85013750358024,Summer,1.0193844275162443
2023-01-14,skincare,SKU48,46.111850712310236,51,20,Male,41,2,40,5,Carrier C,14.25811930894403,Supplier 4,Mumbai,773,18,63.208253604926185,Pass,0.9569344210194187,Rail,Route C,194.55188842191583,Winter,0.8705638059692427
2023-01-14,skincare,SKU49,32.975390796068694,83,15,Female,53,9,48,6,Carrier A,26.519461334215098,Supplier 4,Bangalore,894,10,58.55182754595512,Fail,2.4035613742547186,Rail,Route A,248.87676190918793,Summer,0.9833049529371751
2023-01-14,skincare,SKU50,20.431120772949498,99,17,Female,62,12,48,4,Carrier A,17.61922283861194,Supplier 3,Bangalore,770,19,66.82756787736474,Pending,2.4647087839539443,Air,Route A,154.894539006091,Spring,1.2720496852238998
2023-01-15,haircare,SKU47,62.44950943208627,53,25,Non-binary,49,2,47,4,Carrier C,13.959941448421143,Supplier 3,Kolkata,528,13,30.34654975091485,Pending,2.104715672064958,Air,Route A,290.2228478074149,Winter,1.1533096408769272
2023-01-15,skincare,SKU48,84.06388513620756,51,25,Unknown,33,9,33,4,Carrier A,19.036576087751087,Supplier 1,Bangalore,856,11,61.976170267236824,Pending,1.8507390436055737,Rail,Route C,172.81913007991545,Summer,1.4504201853160101
2023-01-15,skincare,SKU49,94.40905364097799,114,64,Non-binary,69,4,16,2,Carrier C,16.435330779054645,Supplier 1,Delhi,420,19,32.55761545811737,Pending,2.131395686445214,Road,Route B,254.22183296009558,Fall,0.9991024940130091
2023-01-15,haircare,SKU50,58.33153053500152,137,34,Non-binary,47,6,33,4,Carrier A,29.473650906623593,Supplier 2,Bangalore,439,16,39.669677625657485,Pending,2.6603297786831215,Road,Route C,217.78816903484756,Spring,1.105020979726805
2023-01-16,haircare,SKU47,28.170725193737773,127,10,Non-binary,96,3,47,5,Carrier C,26.58101692150764,Supplier 1,Mumbai,990,7,63.88670754092074,Pass,0.9545134829906705,Rail,Route C,343.19288320410715,Fall,1.2787727975681449
2023-01-16,skincare,SKU48,47.56183212817356,144,11,Female,91,7,23,3,Carrier C,26.59392394132368,Supplier 4,Delhi,962,7,56.00751588898903,Fail,0.6018428604713051,Rail,Route C,261.79324766375186,Fall,1.0823961600426584
2023-01-16,haircare,SKU49,70.96128270222849,118,66,Unknown,59,2,42,2,Carrier C,25.52058179980706,Supplier 3,Mumbai,871,10,62.62237983212515,Pending,2.162721656789526,Rail,Route A,308.60975772878567,Fall,1.0951156756087461
2023-01-16,haircare,SKU50,58.747069138267356,133,51,Non-binary,71,5,41,5,Carrier C,28.3429339974095,Supplier 3,Kolkata,855,15,58.98085078918081,Pass,1.1421416119170507,Road,Route B,186.57351268364621,Fall,0.8495663006586129
2023-01-17,haircare,SKU47,90.22937301103869,74,28,Non-binary,38,4,46,2,Carrier C,27.766033871609842,Supplier 1,Delhi,597,5,53.5890065639478,Fail,1.0793379725944403,Road,Route A,340.9885745399307,Summer,1.0770282478850601
2023-01-17,skincare,SKU48,73.30908318983904,149,47,Female,79,11,21,6,Carrier C,24.009143263535968,Supplier 2,Delhi,640,9,66.0103631073689,Pass,1.4495833799291151,Rail,Route A,183.54144930550652,Summer,1.3288454911113
2023-01-17,haircare,SKU49,50.08495073097562,50,38,Unknown,84,8,26,5,Carrier B,22.28229062253269,Supplier 2,Mumbai,738,16,67.4638800621079,Fail,2.319492173827501,Air,Route C,230.81759455598734,Fall,1.1555551907674066
2023-01-17,skincare,SKU50,97.86437558050643,53,42,Unknown,78,12,28,6,Carrier B,25.3419032035927,Supplier 1,Kolkata,436,16,30.44707411291953,Fail,1.9621000866809672,Air,Route C,347.8847356210722,Fall,0.8922394270357668
2023-01-18,haircare,SKU47,29.944331436353224,112,49,Unknown,69,12,29,3,Carrier A,14.676240364435333,Supplier 4,Bangalore,476,15,31.620687026477682,Pending,2.674544163547224,Road,Route A,290.73612904312665,Winter,0.8947560522786795
2023-01-18,skincare,SKU48,33.1008916641371,102,45,Unknown,46,11,43,4,Carrier B,20.958971685517866,Supplier 2,Mumbai,799,12,54.92649080497414,Fail,1.0991268550026119,Road,Route A,339.6861692314526,Winter,1.2438780502659603
2023-01-18,haircare,SKU49,96.37136555321509,61,41,Male,90,7,15,6,Carrier A,26.17944080231807,Supplier 2,Delhi,907,8,61.71576476159999,Fail,0.8260124413185722,Road,Route B,264.2435219928102,Spring,1.4301341149516205
2023-01-18,haircare,SKU50,66.64174413213479,128,33,Female,84,14,40,4,Carrier C,10.03170025628781,Supplier 2,Delhi,568,8,51.65744014180565,Pending,2.77038451506533,Air,Route B,153.8061627496889,Winter,1.3013551688911225
2023-01-19,skincare,SKU47,86.0553658157011,134,37,Male,97,7,21,5,Carrier C,18.443986338789063,Supplier 2,Mumbai,795,19,67.46799170491201,Pending,0.7227912295526671,Air,Route B,278.6063887207049,Spring,0.9644309117505703
2023-01-19,haircare,SKU48,97.42817137065978,144,41,Male,79,9,48,1,Carrier B,14.015643026218283,Supplier 1,Kolkata,658,12,46.59492409604347,Fail,2.519313550205481,Rail,Route B,208.0488750422955,Spring,1.1403063391394919
2023-01-19,haircare,SKU49,73.5942304645179,97,55,Non-binary,63,14,40,1,Carrier C,22.445039420470025,Supplier 2,Delhi,672,17,69.8740982029008,Pass,2.6031303621564055,Rail,Route C,215.13379202859198,Spring,1.2115080409856307
2023-01-19,haircare,SKU50,53.8470698307653,101,58,Female,74,11,15,1,Carrier A,15.80696419104149,Supplier 4,Bangalore,865,16,35.06146386557896,Pending,1.521372227877555,Rail,Route B,232.22052606747235,Fall,0.8906048923723802
2023-01-20,skincare,SKU47,35.07510090142596,75,42,Female,61,4,15,4,Carrier B,24.467127601900856,Supplier 4,Bangalore,930,5,57.931438703470405,Fail,1.6739131820386821,Rail,Route C,279.1245596568608,Winter,1.2673712184768375
2023-01-20,haircare,SKU48,87.496601894246,57,42,Non-binary,40,3,25,1,Carrier A,29.16642201543907,Supplier 4,Bangalore,736,7,50.83322058693486,Pending,2.2418401978890277,Rail,Route C,150.47371630255228,Winter,1.2383161171336035
2023-01-20,haircare,SKU49,93.95512764789272,58,15,Non-binary,56,4,22,4,Carrier C,14.804610446606992,Supplier 2,Mumbai,721,12,56.15971167174623,Pending,1.8367256262450242,Air,Route A,198.80414866941132,Winter,0.9033126437674657
2023-01-20,haircare,SKU50,69.96840291118869,100,30,Unknown,43,4,29,6,Carrier B,25.620670809237666,Supplier 4,Bangalore,524,5,61.627562454145774,Fail,0.5514129064569507,Air,Route B,333.1401437873043,Spring,0.9379618319001106
2023-01-21,skincare,SKU47,31.516986904881897,129,63,Unknown,24,5,27,2,Carrier A,25.37726646005083,Supplier 1,Mumbai,982,18,64.9593769613052,Pass,0.9570435744116547,Rail,Route B,338.9616646097286,Spring,0.8269613372643543
2023-01-21,skincare,SKU48,66.49380481278982,145,11,Unknown,67,12,17,4,Carrier A,16.148266163289527,Supplier 1,Kolkata,888,15,37.83153718981042,Pass,1.40647685526388,Air,Route B,281.94599882691136,Winter,1.098988191321958
2023-01-21,haircare,SKU49,71.34295809635469,126,45,Unknown,54,5,23,4,Carrier A,11.047511704416962,Supplier 2,Delhi,684,6,33.07565148044684,Pending,0.5747290837630812,Air,Route A,251.85835898431327,Summer,0.808305544210219
2023-01-21,haircare,SKU50,46.19982878043753,126,49,Male,97,11,46,1,Carrier C,22.309389439471637,Supplier 2,Bangalore,595,18,56.07240203239497,Pending,2.8494437897398748,Road,Route B,338.4293155177383,Spring,1.0868191939771756
2023-01-22,skincare,SKU47,68.71160941951553,63,18,Unknown,79,2,14,4,Carrier A,28.504918270848233,Supplier 3,Bangalore,589,16,34.57966864208784,Pending,2.637622768674091,Road,Route A,277.6927610859095,Winter,1.2775079634295414
2023-01-22,haircare,SKU48,51.05048032470321,109,51,Unknown,43,13,36,6,Carrier C,15.390526347284316,Supplier 3,Delhi,777,8,64.90086570733875,Pass,2.522887810693421,Rail,Route B,300.39819273828397,Winter,1.0083619409613267
2023-01-22,skincare,SKU49,26.32069928549687,83,60,Unknown,32,1,28,6,Carrier A,29.00165347798407,Supplier 3,Bangalore,523,13,64.60131158989691,Pending,1.9690463012916406,Air,Route C,293.27774389601734,Spring,0.9638256034405089
2023-01-22,haircare,SKU50,31.68841376823364,99,56,Non-binary,33,2,42,4,Carrier C,28.192003126228926,Supplier 3,Delhi,789,6,68.66165400997853,Pass,1.8206198415655295,Road,Route A,302.02983188149176,Summer,0.8298328446442693
2023-01-23,skincare,SKU47,28.34472754389018,69,34,Female,84,4,11,1,Carrier A,10.96436023762366,Supplier 3,Bangalore,794,17,67.65044773485945,Pass,1.6827331655198023,Rail,Route B,258.2268007319841,Fall,1.1083749941387002
2023-01-23,haircare,SKU48,66.95597661578952,86,45,Non-binary,92,12,46,6,Carrier C,26.90389652568698,Supplier 2,Delhi,534,13,68.52811640529548,Pass,1.9700411977905485,Rail,Route A,182.0079900343707,Summer,1.1819868304460324
2023-01-23,skincare,SKU49,52.77689157954712,113,19,Unknown,63,6,33,3,Carrier B,23.442512447852593,Supplier 1,Bangalore,773,6,61.68380742201171,Pass,2.8771446691869498,Road,Route B,170.07186550864353,Spring,1.1758678505426625
2023-01-23,skincare,SKU50,91.67899364488039,109,47,Unknown,85,11,17,2,Carrier A,11.011637776776448,Supplier 2,Delhi,960,10,36.22472199850972,Pass,1.1581021466034125,Road,Route C,292.31855805121023,Fall,1.3365788369311726
2023-01-24,haircare,SKU47,88.24107718148997,63,60,Female,62,13,28,2,Carrier A,25.995608023821248,Supplier 1,Bangalore,834,12,66.07181779962129,Pass,2.4222110711570686,Air,Route B,321.05118944472133,Spring,1.1172299963484758
2023-01-24,haircare,SKU48,56.55140395998656,105,49,Female,48,10,33,5,Carrier B,14.067666260917504,Supplier 1,Mumbai,687,9,55.21682791219119,Pass,0.7567228193847928,Road,Route C,220.3408793847961,Fall,1.4709529712221698
2023-01-24,haircare,SKU49,81.9154791097337,68,53,Female,76,4,30,6,Carrier C,22.148618475649315,Supplier 1,Bangalore,707,6,50.44368882191847,Pending,1.2372362254244178,Air,Route A,241.642687591237,Spring,1.2180513784461866
2023-01-24,haircare,SKU50,38.48458356456148,139,43,Unknown,35,11,28,5,Carrier B,11.96848551482023,Supplier 2,Delhi,539,7,62.58497686047771,Fail,1.5840277632686368,Road,Route A,170.2448034095082,Spring,0.9347106559840263
2023-01-25,skincare,SKU47,88.02954807755393,105,33,Non-binary,88,5,29,2,Carrier A,21.962322857511854,Supplier 1,Delhi,625,19,68.88103272840735,Pass,2.0495519650706937,Air,Route C,305.33136498376433,Fall,1.4416046061289984
2023-01-25,haircare,SKU48,48.140919849288494,147,45,Female,99,5,40,3,Carrier A,25.402640883107388,Supplier 1,Kolkata,540,10,58.8101648020249,Pass,2.325964029319194,Road,Route B,274.28695849755644,Winter,1.2224000847874128
2023-01-25,haircare,SKU49,61.1062661667641,126,12,Female,95,9,16,1,Carrier B,15.16080537007197,Supplier 1,Delhi,461,14,33.70605248169181,Pass,2.6948858035500556,Road,Route C,182.95694590687862,Winter,1.1544163096681646
2023-01-25,skincare,SKU50,69.43614175708706,72,61,Female,60,14,49,5,Carrier C,11.681261330786992,Supplier 4,Bangalore,667,5,53.214887182779556,Fail,2.537737742211501,Air,Route A,228.97131899287803,Winter,0.8767594974705326
2023-01-26,skincare,SKU47,59.679229174791296,83,46,Unknown,31,8,43,5,Carrier A,29.02516497098578,Supplier 2,Kolkata,425,11,50.64997633029112,Pending,1.3667108339599268,Air,Route B,327.70954792695966,Winter,0.9307376105241445
2023-01-26,skincare,SKU48,60.647262378239006,89,66,Unknown,21,10,26,4,Carrier A,19.729470374388498,Supplier 2,Kolkata,749,10,59.27499308281757,Pending,1.0983775692306748,Road,Route A,309.69542921815594,Summer,1.3923017383053755
2023-01-26,skincare,SKU49,87.20564016372117,141,32,Non-binary,85,9,25,2,Carrier C,17.82883771461968,Supplier 1,Mumbai,651,19,65.84442746102505,Pending,2.7509241926354946,Air,Route A,192.25408655301027,Summer,1.4208840286932214
2023-01-26,haircare,SKU50,42.98108029300282,147,22,Male,27,10,12,3,Carrier B,11.70014126895598,Supplier 1,Bangalore,914,5,45.32037232888112,Fail,2.1400041116298856,Road,Route B,267.8019654324105,Summer,0.8623906679222608
2023-01-27,skincare,SKU47,57.40577613354048,146,16,Female,22,4,35,2,Carrier C,20.921636067113866,Supplier 1,Bangalore,625,14,66.84129799893958,Fail,1.0986677355364909,Rail,Route C,156.46725034070172,Winter,1.1529441820495234
2023-01-27,skincare,SKU48,33.69744441177352,118,31,Male,52,3,46,1,Carrier B,29.977027246249833,Supplier 2,Mumbai,759,10,44.57601165450852,Pass,2.420095628846651,Road,Route B,259.5380066395113,Summer,0.997906395326069
2023-01-27,skincare,SKU49,57.0065373751017,100,61,Male,93,6,30,2,Carrier A,16.11896715439309,Supplier 1,Bangalore,554,13,53.212151942790754,Pending,1.8875616194112552,Road,Route B,298.925410141157,Spring,1.156301518904093
2023-01-27,haircare,SKU50,30.622870063422837,102,61,Female,53,3,29,2,Carrier A,12.276679371916565,Supplier 3,Delhi,619,5,40.98628992882193,Pass,2.3638305198679683,Air,Route B,179.011403922698,Summer,0.9555639992204542
2023-01-28,haircare,SKU47,81.9802713910583,59,39,Male,36,10,17,3,Carrier A,15.969646367245378,Supplier 4,Kolkata,938,15,66.7878734897198,Pass,0.9161885656533328,Rail,Route C,227.3617187235153,Spring,1.1286457161631889
2023-01-28,skincare,SKU48,76.40196342768891,98,60,Unknown,94,10,11,3,Carrier A,22.44016777790757,Supplier 4,Kolkata,595,15,68.62020551598947,Pass,0.7500562861753806,Air,Route A,263.3884190945421,Fall,1.0019203717652312
2023-01-28,haircare,SKU49,22.714464072729996,143,60,Male,34,3,47,3,Carrier C,13.634627473389013,Supplier 4,Bangalore,886,14,68.82210437326063,Fail,2.8120207383040174,Road,Route A,268.3440341546432,Fall,0.869532116868242
2023-01-28,haircare,SKU50,85.38465070093442,122,38,Unknown,75,1,14,3,Carrier A,23.489217093184443,Supplier 2,Bangalore,956,9,34.281471584339435,Pending,1.3447793722001051,Rail,Route C,222.5909080694798,Winter,1.002183304463239
2023-01-29,skincare,SKU47,27.895442007911903,138,43,Unknown,82,3,48,4,Carrier B,16.471311463979994,Supplier 4,Mumbai,836,19,35.48616993484532,Pass,2.4650918166971523,Road,Route C,167.7452420580079,Fall,0.966885856508987
2023-01-29,haircare,SKU48,96.02534304470188,84,34,Unknown,46,7,39,1,Carrier A,10.739534339755053,Supplier 1,Delhi,617,6,39.45599869399267,Pending,2.6288150332020725,Road,Route A,310.19322543816133,Summer,1.3857325006567476
