Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
haircare,SKU42,33.58,193,43,1443.94,Non-binary,62,11,9,9,Carrier B,38.67,Supplier 3,Delhi,11,546,18,20.05,Pending,3.735,Road,Route B,267.76,Fall,0.9137686708537802
haircare,SKU8,27.47,35,6,164.82,Unknown,13,16,24,6,Carrier E,22.47,Supplier 2,Mumbai,16,434,8,19.47,Pending,4.486,Rail,Route B,211.74,Winter,1.2022828731152746
haircare,SKU19,32.85,79,61,2003.85,Male,57,13,44,8,Carrier B,46.13,Supplier 2,Mumbai,13,905,20,33.28,Fail,4.974,Road,Route C,438.33,Winter,1.2470619742910183
haircare,SKU26,25.74,26,1,25.74,Female,16,15,22,3,Carrier C,36.28,Supplier 1,Bangalore,15,517,10,42.82,Fail,2.816,Air,Route B,290.71,Summer,1.5223948650739398
skincare,SKU72,75.61,200,30,2268.3,Unknown,85,8,3,7,Carrier D,26.76,Supplier 1,Delhi,8,218,11,22.38,Pass,0.859,Rail,Route A,422.29,Summer,1.3133968935469427
haircare,SKU86,19.46,69,53,1031.38,Male,52,28,23,3,Carrier D,45.67,Supplier 3,Mumbai,28,584,6,16.17,Pass,0.032,Rail,Route A,260.65,Spring,0.869025955376087
skincare,SKU4,92.17,134,121,11152.57,Non-binary,19,7,38,10,Carrier B,49.05,Supplier 1,Mumbai,7,289,12,36.17,Fail,2.441,Road,Route A,414.01,Winter,1.2504186058130993
skincare,SKU25,93.03,12,2,186.06,Male,10,13,8,3,Carrier E,29.2,Supplier 3,Mumbai,13,370,11,33.03,Fail,2.859,Rail,Route C,374.86,Spring,0.8838326953602785
skincare,SKU15,59.28,149,83,4920.24,Non-binary,129,28,28,5,Carrier B,46.83,Supplier 1,Mumbai,28,636,13,26.42,Fail,4.579,Road,Route A,140.19,Summer,1.3570954947529288
skincare,SKU48,80.31,137,2,160.62,Non-binary,104,28,38,3,Carrier E,33.6,Supplier 1,Delhi,28,101,6,28.09,Pending,3.468,Rail,Route A,117.83,Fall,1.0206892024943066
haircare,SKU58,49.0,44,25,1225.0,Non-binary,34,27,30,3,Carrier C,72.33,Supplier 3,Mumbai,27,762,16,34.57,Fail,2.679,Air,Route A,215.05,Spring,1.0282154664622833
haircare,SKU33,30.89,24,6,185.34,Male,11,21,20,6,Carrier E,15.72,Supplier 3,Delhi,21,879,11,14.77,Pass,1.596,Rail,Route A,265.44,Spring,1.0260396767223876
haircare,SKU96,44.17,109,41,1810.97,Female,76,8,15,1,Carrier C,47.6,Supplier 2,Bangalore,8,248,7,36.51,Fail,4.751,Air,Route B,304.79,Spring,0.8253063295261738
haircare,SKU75,44.82,182,82,3675.24,Male,126,29,5,6,Carrier E,49.45,Supplier 3,Delhi,29,646,14,41.33,Pass,0.585,Rail,Route B,197.04,Fall,1.013867122113987
haircare,SKU46,49.93,118,99,4943.07,Unknown,107,27,21,4,Carrier E,13.95,Supplier 1,Delhi,27,277,16,38.31,Pending,4.579,Rail,Route C,291.27,Summer,1.3636631292342658
skincare,SKU18,21.65,33,20,433.0,Female,32,20,30,3,Carrier E,16.35,Supplier 3,Bangalore,20,357,9,25.5,Fail,3.755,Rail,Route C,285.43,Fall,0.9426340763432164
skincare,SKU25,90.49,53,22,1990.78,Unknown,34,20,48,4,Carrier C,45.65,Supplier 1,Mumbai,20,814,5,22.58,Pass,0.563,Air,Route B,461.72,Spring,0.9994348734049431
skincare,SKU7,53.18,95,21,1116.78,Female,29,14,16,6,Carrier D,21.17,Supplier 1,Bangalore,14,234,16,27.87,Fail,3.235,Rail,Route C,138.94,Spring,0.8223759365077487
haircare,SKU58,42.97,50,10,429.7,Female,16,21,28,5,Carrier E,14.71,Supplier 2,Delhi,21,667,12,37.19,Pass,0.922,Rail,Route A,116.36,Winter,1.2558850522815819
haircare,SKU71,43.45,14,7,304.15,Unknown,11,10,10,1,Carrier C,19.49,Supplier 1,Delhi,10,975,6,32.84,Pending,4.507,Air,Route A,188.38,Summer,1.393777672695284
haircare,SKU9,9.15,151,94,860.1,Female,38,21,4,7,Carrier A,42.92,Supplier 1,Mumbai,21,660,5,25.91,Pending,2.336,Road,Route C,352.53,Spring,0.9620668858559653
haircare,SKU1,5.05,22,19,95.95,Female,14,13,13,1,Carrier C,46.17,Supplier 1,Bangalore,13,390,17,48.06,Pass,1.581,Air,Route A,149.28,Spring,0.8371928592456053
skincare,SKU41,72.17,147,128,9237.76,Unknown,29,23,11,2,Carrier C,56.57,Supplier 3,Mumbai,23,138,19,40.0,Fail,3.751,Air,Route C,495.7,Winter,1.4451380331559465
haircare,SKU26,7.12,61,34,242.08,Female,16,24,21,5,Carrier C,61.74,Supplier 3,Mumbai,24,548,14,37.04,Pending,3.234,Air,Route C,453.48,Winter,1.3541111816561904
skincare,SKU65,93.1,66,22,2048.2,Non-binary,45,24,47,5,Carrier A,11.49,Supplier 3,Mumbai,24,856,12,49.33,Pending,4.377,Road,Route C,417.03,Spring,1.0339310068735306
skincare,SKU72,99.46,150,58,5768.68,Unknown,33,11,50,5,Carrier C,75.24,Supplier 1,Mumbai,11,725,20,22.48,Pending,4.841,Air,Route C,439.66,Spring,0.8640250390270021
skincare,SKU78,28.5,29,13,370.5,Unknown,22,8,16,6,Carrier D,10.49,Supplier 1,Mumbai,8,430,16,49.16,Pending,4.8,Rail,Route A,189.29,Spring,1.0113488415238128
haircare,SKU60,23.41,91,89,2083.49,Unknown,88,26,31,6,Carrier E,20.46,Supplier 2,Delhi,26,238,14,14.47,Pass,1.937,Rail,Route B,463.23,Fall,1.05013660966
skincare,SKU66,22.33,89,39,870.87,Unknown,42,28,48,4,Carrier C,59.61,Supplier 1,Delhi,28,789,8,18.3,Fail,3.117,Air,Route A,113.54,Winter,1.4852285654407575
haircare,SKU22,24.66,22,13,320.58,Male,22,25,9,9,Carrier B,32.31,Supplier 1,Mumbai,25,321,18,45.29,Pass,1.744,Road,Route B,390.89,Summer,1.5556604102428964
skincare,SKU16,58.95,114,9,530.55,Non-binary,60,20,4,6,Carrier D,46.73,Supplier 1,Mumbai,20,244,19,18.32,Pending,4.422,Rail,Route A,412.91,Fall,1.0567237268547154
skincare,SKU100,26.92,98,85,2288.2,Male,39,18,41,5,Carrier C,82.75,Supplier 2,Mumbai,18,467,12,10.33,Pending,2.497,Air,Route A,116.64,Fall,0.9592322795848562
skincare,SKU0,44.28,67,22,974.16,Unknown,27,26,27,6,Carrier B,27.41,Supplier 3,Bangalore,26,671,15,29.68,Pending,2.051,Road,Route B,218.41,Winter,1.238144925156189
skincare,SKU39,59.17,25,18,1065.06,Male,11,23,11,5,Carrier C,66.09,Supplier 3,Delhi,23,227,11,16.61,Pending,3.418,Air,Route B,359.57,Winter,1.4165425333463353
haircare,SKU2,34.96,167,110,3845.6,Male,156,7,32,5,Carrier C,87.93,Supplier 3,Mumbai,7,837,16,35.45,Fail,3.466,Air,Route B,130.65,Summer,1.3011578479827017
skincare,SKU23,92.77,49,35,3246.95,Unknown,16,25,44,10,Carrier A,37.6,Supplier 3,Delhi,25,844,19,10.76,Pass,0.188,Road,Route A,221.89,Winter,1.458637942019212
skincare,SKU47,78.14,174,146,11408.44,Unknown,66,23,41,5,Carrier C,89.08,Supplier 1,Mumbai,23,465,11,35.48,Pending,2.179,Air,Route B,431.08,Fall,1.100807642510286
haircare,SKU82,24.97,192,90,2247.3,Female,162,24,37,7,Carrier E,31.25,Supplier 3,Bangalore,24,549,6,18.2,Pass,1.062,Rail,Route B,433.6,Fall,1.1055371443137472
haircare,SKU0,13.53,47,13,175.89,Male,35,22,25,7,Carrier B,9.38,Supplier 1,Bangalore,22,348,7,25.33,Fail,3.244,Road,Route B,230.46,Summer,1.5090284164533234
haircare,SKU18,19.73,185,14,276.22,Female,29,10,18,9,Carrier A,20.54,Supplier 2,Mumbai,10,315,10,30.19,Pending,3.102,Road,Route B,189.51,Winter,1.2984554051854764
haircare,SKU52,42.41,78,42,1781.22,Non-binary,59,9,45,7,Carrier B,11.02,Supplier 1,Mumbai,9,766,6,39.51,Fail,4.141,Road,Route B,125.59,Spring,0.817052931708309
haircare,SKU71,41.93,164,9,377.37,Non-binary,46,24,31,1,Carrier C,59.48,Supplier 3,Delhi,24,724,10,38.11,Pending,3.541,Air,Route A,108.26,Winter,1.210409650800874
haircare,SKU12,40.65,138,124,5040.6,Female,136,22,20,3,Carrier C,72.19,Supplier 2,Mumbai,22,118,16,25.86,Pass,1.308,Air,Route A,139.24,Summer,1.4955304298624064
skincare,SKU60,90.74,79,11,998.14,Unknown,26,17,26,4,Carrier C,86.87,Supplier 2,Bangalore,17,247,9,33.85,Pending,3.716,Air,Route C,290.91,Summer,1.592422250444271
skincare,SKU72,38.77,174,16,620.32,Unknown,141,29,27,10,Carrier A,7.2,Supplier 1,Bangalore,29,737,19,42.53,Fail,3.363,Road,Route C,430.47,Spring,1.077694788542317
skincare,SKU26,83.15,54,52,4323.8,Male,19,28,13,4,Carrier E,42.53,Supplier 2,Mumbai,28,123,9,14.12,Pending,4.042,Rail,Route A,201.18,Fall,0.9146894971651031
haircare,SKU97,14.6,117,110,1606.0,Female,98,17,24,9,Carrier A,46.93,Supplier 1,Delhi,17,168,9,11.61,Pass,1.647,Road,Route C,148.03,Winter,1.2290420029270113
skincare,SKU96,40.4,171,14,565.6,Male,62,25,31,4,Carrier D,35.08,Supplier 1,Mumbai,25,704,11,44.71,Pass,0.431,Rail,Route C,441.69,Fall,1.1239793001538958
haircare,SKU6,37.46,84,45,1685.7,Non-binary,36,23,32,3,Carrier C,46.84,Supplier 2,Mumbai,23,291,20,41.75,Pass,0.038,Air,Route B,224.55,Winter,1.3839053347715449
haircare,SKU49,31.32,10,3,93.96,Male,10,11,9,8,Carrier A,35.76,Supplier 3,Bangalore,11,992,19,26.93,Pending,2.034,Road,Route B,167.42,Fall,1.1074709429538172
haircare,SKU8,25.06,114,92,2305.52,Female,34,7,12,3,Carrier E,28.14,Supplier 3,Mumbai,7,915,20,48.88,Pass,0.652,Rail,Route A,263.65,Winter,1.248327992423673
haircare,SKU9,39.51,93,52,2054.52,Male,49,29,29,3,Carrier C,85.36,Supplier 1,Bangalore,29,744,20,34.56,Fail,2.694,Air,Route C,344.47,Summer,1.3189698081934864
skincare,SKU74,53.77,110,51,2742.27,Non-binary,86,17,26,6,Carrier D,13.17,Supplier 2,Delhi,17,159,18,14.46,Pending,3.71,Rail,Route B,439.14,Summer,1.3022135285026561
skincare,SKU80,92.74,106,26,2411.24,Non-binary,104,7,23,4,Carrier C,53.33,Supplier 3,Delhi,7,471,8,30.94,Fail,3.798,Air,Route B,116.91,Spring,1.0160306218799744
skincare,SKU10,66.36,50,50,3318.0,Female,29,15,43,10,Carrier B,40.6,Supplier 3,Delhi,15,390,8,28.14,Pending,4.967,Road,Route C,451.84,Summer,1.4422415906440298
skincare,SKU81,47.79,103,1,47.79,Unknown,89,22,42,2,Carrier C,77.75,Supplier 3,Delhi,22,510,20,13.41,Fail,4.547,Air,Route A,386.15,Spring,1.0787471705191516
haircare,SKU40,10.02,36,1,10.02,Female,34,20,8,3,Carrier C,50.59,Supplier 3,Bangalore,20,655,11,13.77,Pass,0.275,Air,Route B,342.64,Spring,1.095392134819354
skincare,SKU49,98.26,183,109,10710.34,Female,159,18,15,8,Carrier B,16.48,Supplier 1,Mumbai,18,168,14,40.36,Pass,0.556,Road,Route A,323.77,Summer,1.555811317896903
