Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
haircare,SKU66,11.25,118,82.0,6.828170799639294,Male,3.970291913552122,20,25,2,Carrier C,37.52,Supplier 2,Delhi,412,8,20.22,Pending,2.18,Air,Route A,119.44,Spring,0.8748321827742428
skincare,SKU30,80.14,178,100.0,8.989070065043654,Unknown,3.8066624897703196,24,16,3,Carrier E,16.74,Supplier 3,Bangalore,164,9,19.76,Pending,2.283,Rail,Route A,100.47,Spring,0.800432221713551
skincare,SKU15,42.45,51,39.0,7.41249240540757,Male,3.784189633918261,11,16,9,Carrier B,35.04,Supplier 1,Delhi,535,6,13.8,Pass,0.129,Road,Route B,261.39,Spring,0.8194534857858162
skincare,SKU25,49.01,82,41.0,7.6060939603515125,Non-binary,2.70805020110221,16,10,5,Carrier C,78.67,Supplier 2,Mumbai,835,14,42.09,Fail,3.637,Air,Route A,166.71,Winter,1.330435556491023
skincare,SKU75,55.31,47,8.0,6.094652704904151,Unknown,2.4849066497880004,15,34,5,Carrier A,46.11,Supplier 2,Delhi,322,10,44.94,Fail,3.813,Road,Route A,182.54,Spring,0.97535654675265
skincare,SKU32,84.08,73,27.0,7.728045993168518,Male,4.23410650459726,14,24,4,Carrier D,47.28,Supplier 2,Delhi,173,16,17.25,Pending,2.797,Rail,Route C,133.09,Summer,1.5459760122564232
skincare,SKU57,82.61,22,18.0,7.305174774442493,Non-binary,2.8903717578961645,13,15,7,Carrier E,11.45,Supplier 3,Bangalore,517,12,26.89,Pass,1.3,Rail,Route A,115.51,Summer,1.3837245613073668
haircare,SKU18,7.74,34,24.0,5.229824370102736,Male,2.833213344056216,27,20,5,Carrier D,19.81,Supplier 2,Delhi,445,14,46.5,Pending,3.431,Rail,Route C,179.53,Fall,0.998654757277871
skincare,SKU39,80.31,71,26.0,7.644469483020597,Unknown,3.871201010907891,29,30,5,Carrier C,45.09,Supplier 3,Mumbai,725,16,33.48,Fail,2.083,Air,Route B,320.04,Spring,0.9228215736889788
haircare,SKU59,6.1,157,139.0,6.743941393743922,Unknown,3.9889840465642745,16,25,5,Carrier C,58.08,Supplier 2,Delhi,809,8,18.72,Fail,2.066,Air,Route C,294.58,Fall,0.9621550658506084
haircare,SKU22,49.47,129,9.0,6.100834514162325,Non-binary,3.7612001156935624,15,39,4,Carrier C,83.82,Supplier 1,Delhi,143,6,44.17,Fail,4.127,Air,Route C,450.97,Fall,0.9209159803134724
skincare,SKU89,24.77,114,62.0,7.337418568526643,Unknown,4.700480365792417,29,28,8,Carrier B,24.19,Supplier 3,Bangalore,431,8,30.84,Fail,2.286,Road,Route A,477.37,Summer,1.364815152052728
skincare,SKU66,59.31,56,25.0,7.302327945923878,Unknown,3.9512437185814275,28,13,5,Carrier E,32.24,Supplier 1,Mumbai,473,19,41.1,Pass,0.263,Rail,Route A,166.12,Spring,0.8154925008374383
haircare,SKU93,34.12,55,8.0,5.612982110329704,Non-binary,3.5553480614894135,27,19,5,Carrier C,69.06,Supplier 2,Bangalore,529,5,47.54,Pass,1.304,Air,Route B,114.4,Summer,1.5299736847219725
haircare,SKU33,23.19,30,11.0,5.545528945195947,Male,3.332204510175204,12,24,7,Carrier B,30.31,Supplier 2,Delhi,875,17,14.82,Fail,3.795,Road,Route A,204.23,Winter,1.2941999472351238
haircare,SKU89,12.57,75,20.0,5.5310151306670585,Non-binary,3.9889840465642745,10,34,5,Carrier D,18.77,Supplier 2,Mumbai,492,9,30.79,Fail,4.075,Rail,Route C,466.62,Summer,1.5797076553714935
haircare,SKU17,46.31,146,140.0,8.777154571267419,Non-binary,4.477336814478207,15,49,4,Carrier D,40.36,Supplier 1,Delhi,942,13,13.01,Pending,4.912,Rail,Route A,325.82,Summer,1.4326014036370447
haircare,SKU67,6.79,135,35.0,5.474998043451905,Male,3.58351893845611,27,39,4,Carrier C,45.21,Supplier 2,Delhi,656,11,40.36,Fail,3.612,Air,Route C,142.43,Summer,1.354332859825286
skincare,SKU22,37.06,126,48.0,7.484301225283251,Female,4.477336814478207,17,10,6,Carrier A,45.53,Supplier 2,Delhi,450,14,22.08,Pending,4.417,Road,Route B,476.03,Winter,1.3018992322388443
haircare,SKU91,40.15,74,53.0,7.663384179413376,Unknown,3.9512437185814275,18,7,9,Carrier B,22.66,Supplier 3,Bangalore,959,7,20.18,Pass,0.104,Road,Route B,131.37,Fall,1.0823252223473734
skincare,SKU56,80.13,109,95.0,8.937658564241296,Non-binary,3.713572066704308,22,2,7,Carrier E,9.43,Supplier 3,Delhi,719,6,42.89,Pending,3.642,Rail,Route C,245.15,Fall,0.9112772609711348
skincare,SKU17,73.76,112,63.0,8.444166480642531,Female,4.406719247264253,15,29,3,Carrier E,33.25,Supplier 2,Mumbai,682,11,13.68,Pass,1.186,Rail,Route C,108.51,Spring,0.972367452358901
haircare,SKU87,16.74,29,23.0,5.9558891815940616,Unknown,2.6390573296152584,24,28,2,Carrier C,18.93,Supplier 3,Mumbai,589,20,48.85,Pending,3.65,Air,Route C,396.27,Summer,1.4020798039786897
haircare,SKU11,16.55,41,21.0,5.853781691932408,Unknown,2.4849066497880004,14,41,9,Carrier B,35.2,Supplier 1,Delhi,480,19,25.48,Fail,4.128,Road,Route A,457.08,Fall,0.9530307084276044
skincare,SKU98,39.67,58,11.0,6.080779518784841,Unknown,3.58351893845611,11,34,2,Carrier C,18.63,Supplier 1,Delhi,127,17,39.45,Pass,0.591,Air,Route A,276.39,Summer,1.444737035103446
skincare,SKU41,90.99,85,30.0,7.912313265567924,Male,4.406719247264253,20,2,4,Carrier E,27.06,Supplier 1,Bangalore,634,17,25.13,Fail,3.802,Rail,Route A,161.72,Winter,1.371375643694988
haircare,SKU29,33.0,192,186.24512032860818,8.733110697638708,Male,4.04305126783455,15,17,6,Carrier E,45.99,Supplier 3,Mumbai,256,14,42.56,Pending,2.144,Rail,Route A,407.83,Summer,1.5947863279949557
skincare,SKU85,55.79,159,122.0,8.825762596775947,Male,3.912023005428146,25,18,1,Carrier C,20.73,Supplier 2,Bangalore,758,12,38.44,Pending,3.634,Air,Route A,211.06,Fall,1.09345016271212
skincare,SKU60,52.03,139,137.0,8.871941680932661,Female,4.30406509320417,15,28,1,Carrier C,10.05,Supplier 3,Delhi,340,10,18.57,Fail,4.742,Air,Route A,194.55,Spring,0.9591200280957064
skincare,SKU13,59.02,133,38.0,7.71590830905117,Non-binary,4.430816798843313,12,18,4,Carrier C,94.69,Supplier 2,Mumbai,902,17,20.93,Fail,3.293,Air,Route B,163.76,Summer,1.37559725304643
skincare,SKU86,68.3,21,13.0,6.789984743247629,Female,2.8903717578961645,24,11,6,Carrier D,48.08,Supplier 2,Bangalore,451,14,37.88,Pass,1.044,Rail,Route C,355.17,Summer,1.4270800800954777
haircare,SKU62,17.71,172,48.0,6.746506131205517,Male,4.574710978503383,12,38,3,Carrier C,18.39,Supplier 1,Bangalore,781,6,41.96,Pending,2.415,Air,Route A,491.34,Spring,0.9943824033652184
haircare,SKU7,39.83,20,18.0,6.576386000096827,Female,3.044522437723423,22,16,7,Carrier D,26.13,Supplier 1,Delhi,618,7,28.29,Fail,3.411,Rail,Route C,489.41,Spring,0.9484903878115564
skincare,SKU97,94.67,186,108.0,9.217922868034115,Unknown,3.091042453358316,15,26,4,Carrier C,68.63,Supplier 2,Mumbai,813,7,25.63,Fail,4.223,Air,Route C,339.34,Spring,1.0929626488994666
skincare,SKU35,88.68,162,74.0,8.789251851474933,Non-binary,4.9344739331306915,14,50,7,Carrier D,36.66,Supplier 3,Bangalore,750,6,44.88,Pass,0.967,Rail,Route C,127.57,Winter,1.318915911591986
skincare,SKU64,67.06,37,37.0,7.816908600031423,Female,3.295836866004329,20,23,7,Carrier E,38.29,Supplier 3,Delhi,567,16,36.26,Fail,2.638,Rail,Route A,268.52,Fall,0.9628937743349042
skincare,SKU73,25.03,75,18.0,6.112663962509827,Female,4.0943445622221,30,20,3,Carrier C,84.05,Supplier 3,Mumbai,562,5,14.15,Fail,2.981,Air,Route A,445.99,Summer,1.5187456353747435
haircare,SKU48,9.76,146,131.0,7.154271547818088,Unknown,2.70805020110221,17,24,7,Carrier A,33.91,Supplier 1,Bangalore,591,10,30.74,Pass,1.225,Road,Route B,458.99,Winter,1.4285272242773026
skincare,SKU63,87.48,21,7.0,6.418952039250639,Unknown,3.091042453358316,27,18,5,Carrier C,15.22,Supplier 1,Delhi,473,17,12.63,Pass,0.575,Air,Route C,148.28,Fall,0.9869990040818092
haircare,SKU6,19.29,145,26.0,6.21967523875521,Unknown,4.584967478670572,15,21,5,Carrier E,19.33,Supplier 3,Delhi,490,17,49.8,Pass,1.18,Rail,Route A,186.78,Winter,1.380132739568175
skincare,SKU87,38.14,132,92.0,8.163337127841299,Unknown,3.4339872044851463,13,50,6,Carrier A,27.49,Supplier 2,Bangalore,569,9,12.52,Pending,3.095,Road,Route A,153.34,Summer,1.4347579267726256
skincare,SKU19,83.6,48,9.0,6.62459629525794,Male,3.4339872044851463,29,8,5,Carrier B,13.03,Supplier 1,Bangalore,155,18,42.6,Pass,0.393,Road,Route A,169.73,Summer,1.380154186640272
skincare,SKU54,77.92,158,52.0,8.307173148918405,Female,4.948759890378168,7,28,10,Carrier A,44.7,Supplier 1,Bangalore,501,12,33.52,Pass,0.505,Road,Route C,332.47,Spring,0.8180902870390221
haircare,SKU9,11.25,177,62.0,6.5489351786970165,Non-binary,4.997212273764115,8,19,3,Carrier C,39.96,Supplier 3,Mumbai,986,14,49.18,Fail,3.786,Air,Route B,273.21,Summer,1.473244142058792
haircare,SKU85,13.46,71,49.0,6.493057682310367,Non-binary,3.6375861597263857,18,50,3,Carrier C,49.67,Supplier 2,Delhi,943,5,33.57,Fail,2.695,Air,Route B,496.87,Summer,1.5482126639119709
skincare,SKU43,52.83,14,6.0,5.761988487720563,Non-binary,2.70805020110221,14,13,6,Carrier A,38.6,Supplier 1,Mumbai,126,18,33.17,Fail,3.788,Road,Route C,219.6,Winter,1.373286497321919
skincare,SKU19,47.6,185,24.0,7.041761558829871,Non-binary,4.584967478670572,8,11,5,Carrier D,25.71,Supplier 3,Mumbai,856,11,41.25,Pass,0.442,Rail,Route A,479.26,Fall,0.9984015584568569
skincare,SKU89,50.31,67,62.0,8.045658791138129,Unknown,3.6375861597263857,25,43,8,Carrier B,17.26,Supplier 1,Mumbai,681,20,31.48,Pass,0.564,Road,Route B,368.46,Fall,0.9750018092757252
haircare,SKU17,8.84,118,34.0,5.708969001343501,Unknown,4.1588830833596715,15,34,6,Carrier A,18.32,Supplier 2,Mumbai,350,20,24.55,Pending,3.926,Road,Route B,380.52,Summer,1.452000287781511
skincare,SKU49,60.7,154,78.0,8.462863713537482,Non-binary,3.5553480614894135,17,27,5,Carrier C,93.41,Supplier 1,Mumbai,572,11,44.67,Pending,2.656,Air,Route A,411.38,Winter,1.2270808626118488
haircare,SKU91,47.16,191,59.0,7.931442851795764,Male,3.58351893845611,27,40,7,Carrier B,43.7,Supplier 3,Delhi,103,14,25.08,Pending,3.843,Road,Route C,172.53,Fall,1.0306618212233554
haircare,SKU52,11.13,84,51.0,6.3432299589928585,Male,4.007333185232471,23,35,2,Carrier C,94.2,Supplier 3,Delhi,394,20,12.74,Pending,3.585,Air,Route B,431.07,Winter,1.4493556926976865
haircare,SKU80,49.82,95,83.0,8.327498922852868,Male,3.7376696182833684,29,38,5,Carrier E,45.94,Supplier 3,Bangalore,506,7,48.72,Pass,1.912,Rail,Route B,414.79,Summer,1.5913298159756577
haircare,SKU68,39.83,146,120.0,8.4723213406207,Male,4.919980925828125,19,41,2,Carrier C,13.54,Supplier 2,Bangalore,342,17,46.69,Pass,0.34,Air,Route A,428.58,Summer,1.5854597884287456
haircare,SKU50,30.9,117,108.0,8.113187018544316,Unknown,4.406719247264253,28,23,3,Carrier E,21.19,Supplier 1,Delhi,319,10,34.72,Fail,2.786,Rail,Route B,250.96,Spring,0.9977555478783526
skincare,SKU67,49.84,97,42.0,7.646965097868646,Unknown,4.31748811353631,24,27,3,Carrier D,23.66,Supplier 2,Delhi,989,7,31.13,Pending,2.735,Rail,Route A,110.61,Summer,1.4913686734958382
haircare,SKU98,5.42,23,17.0,4.534103737554231,Female,3.1780538303479458,8,13,2,Carrier C,83.68,Supplier 3,Mumbai,863,19,37.51,Pass,1.288,Air,Route C,258.77,Spring,0.924535047849996
haircare,SKU42,33.58,193,43.0,7.275823077193101,Non-binary,4.143134726391533,11,9,9,Carrier B,38.67,Supplier 3,Delhi,546,18,20.05,Pending,3.735,Road,Route B,267.76,Fall,0.9137686708537802
haircare,SKU8,27.47,35,6.0,5.110902862688072,Unknown,2.6390573296152584,16,24,6,Carrier E,22.47,Supplier 2,Mumbai,434,8,19.47,Pending,4.486,Rail,Route B,211.74,Winter,1.2022828731152746
haircare,SKU19,32.85,79,61.0,7.603324523974459,Male,4.060443010546419,13,44,8,Carrier B,46.13,Supplier 2,Mumbai,905,20,33.28,Fail,4.974,Road,Route C,438.33,Winter,1.2470619742910185
haircare,SKU26,25.74,26,1.0,3.286160571673797,Female,2.833213344056216,15,22,3,Carrier C,36.28,Supplier 1,Bangalore,517,10,42.82,Fail,2.816,Air,Route B,290.71,Summer,1.5223948650739398
skincare,SKU72,75.61,200,30.0,7.727226692875576,Unknown,4.454347296253507,8,3,7,Carrier D,26.76,Supplier 1,Delhi,218,11,22.38,Pass,0.859,Rail,Route A,422.29,Summer,1.313396893546943
haircare,SKU86,19.46,69,53.0,6.939622095320509,Male,3.970291913552122,28,23,3,Carrier D,45.67,Supplier 3,Mumbai,584,6,16.17,Pass,0.032,Rail,Route A,260.65,Spring,0.869025955376087
skincare,SKU4,92.17,134,121.0,9.217922868034115,Non-binary,2.995732273553991,7,38,10,Carrier B,49.05,Supplier 1,Mumbai,289,12,36.17,Fail,2.441,Road,Route A,414.01,Winter,1.2504186058130993
skincare,SKU25,93.03,12,2.0,5.231429421006405,Male,2.3978952727983707,13,8,3,Carrier E,29.2,Supplier 3,Mumbai,370,11,33.03,Fail,2.859,Rail,Route C,374.86,Spring,0.8838326953602785
skincare,SKU15,59.28,149,83.0,8.50131581025182,Non-binary,4.867534450455582,28,28,5,Carrier B,46.83,Supplier 1,Mumbai,636,13,26.42,Fail,4.579,Road,Route A,140.19,Summer,1.3570954947529288
skincare,SKU48,80.31,137,2.0,5.085247900805301,Non-binary,4.653960350157523,28,38,3,Carrier E,33.6,Supplier 1,Delhi,101,6,28.09,Pending,3.468,Rail,Route A,117.83,Fall,1.0206892024943066
haircare,SKU58,49.0,44,25.0,7.111512116496157,Non-binary,3.5553480614894135,27,30,3,Carrier C,72.33,Supplier 3,Mumbai,762,16,34.57,Fail,2.679,Air,Route A,215.05,Spring,1.0282154664622831
haircare,SKU33,30.89,24,6.0,5.227572962022279,Male,2.4849066497880004,21,20,6,Carrier E,15.72,Supplier 3,Delhi,879,11,14.77,Pass,1.596,Rail,Route A,265.44,Spring,1.0260396767223876
haircare,SKU96,44.17,109,41.0,7.502169930174477,Female,4.343805421853684,8,15,1,Carrier C,47.6,Supplier 2,Bangalore,248,7,36.51,Fail,4.751,Air,Route B,304.79,Spring,0.8253063295261738
haircare,SKU75,44.82,182,82.0,8.209645769701295,Male,4.844187086458591,29,5,6,Carrier E,49.45,Supplier 3,Delhi,646,14,41.33,Pass,0.585,Rail,Route B,197.04,Fall,1.013867122113987
haircare,SKU46,49.93,118,99.0,8.505944157613346,Unknown,4.68213122712422,27,21,4,Carrier E,13.95,Supplier 1,Delhi,277,16,38.31,Pending,4.579,Rail,Route C,291.27,Summer,1.3636631292342658
skincare,SKU18,21.65,33,20.0,6.073044534100405,Female,3.4965075614664802,20,30,3,Carrier E,16.35,Supplier 3,Bangalore,357,9,25.5,Fail,3.755,Rail,Route C,285.43,Fall,0.9426340763432164
skincare,SKU25,90.49,53,22.0,7.596783990278334,Unknown,3.5553480614894135,20,48,4,Carrier C,45.65,Supplier 1,Mumbai,814,5,22.58,Pass,0.563,Air,Route B,461.72,Spring,0.9994348734049432
skincare,SKU7,53.18,95,21.0,7.019099854387105,Female,3.4011973816621555,14,16,6,Carrier D,21.17,Supplier 1,Bangalore,234,16,27.87,Fail,3.235,Rail,Route C,138.94,Spring,0.8223759365077487
haircare,SKU58,42.97,50,10.0,6.065411792060065,Female,2.833213344056216,21,28,5,Carrier E,14.71,Supplier 2,Delhi,667,12,37.19,Pass,0.922,Rail,Route A,116.36,Winter,1.255885052281582
haircare,SKU71,43.45,14,7.0,5.7208034589905035,Unknown,2.4849066497880004,10,10,1,Carrier C,19.49,Supplier 1,Delhi,975,6,32.84,Pending,4.507,Air,Route A,188.38,Summer,1.393777672695284
haircare,SKU9,9.15,151,94.0,6.75821064170212,Female,3.6635616461296463,21,4,7,Carrier A,42.92,Supplier 1,Mumbai,660,5,25.91,Pending,2.336,Road,Route C,352.53,Spring,0.9620668858559652
haircare,SKU1,5.05,22,19.0,4.574195381688661,Female,2.70805020110221,13,13,1,Carrier C,46.17,Supplier 1,Bangalore,390,17,48.06,Pass,1.581,Air,Route A,149.28,Spring,0.8371928592456053
skincare,SKU41,72.17,147,128.0,9.131162956496022,Unknown,3.4011973816621555,23,11,2,Carrier C,56.57,Supplier 3,Mumbai,138,19,40.0,Fail,3.751,Air,Route C,495.7,Winter,1.4451380331559465
haircare,SKU26,7.12,61,34.0,5.493390607267155,Female,2.833213344056216,24,21,5,Carrier C,61.74,Supplier 3,Mumbai,548,14,37.04,Pending,3.234,Air,Route C,453.48,Winter,1.3541111816561904
skincare,SKU65,93.1,66,22.0,7.625204752065047,Non-binary,3.828641396489095,24,47,5,Carrier A,11.49,Supplier 3,Mumbai,856,12,49.33,Pending,4.377,Road,Route C,417.03,Spring,1.0339310068735306
skincare,SKU72,99.46,150,58.0,8.660371898692127,Unknown,3.5263605246161616,11,50,5,Carrier C,75.24,Supplier 1,Mumbai,725,20,22.48,Pending,4.841,Air,Route C,439.66,Spring,0.8640250390270021
skincare,SKU78,28.5,29,13.0,5.917548864157814,Unknown,3.1354942159291497,8,16,6,Carrier D,10.49,Supplier 1,Mumbai,430,16,49.16,Pending,4.8,Rail,Route A,189.29,Spring,1.0113488415238128
haircare,SKU60,23.41,91,89.0,7.64227949999584,Unknown,4.48863636973214,26,31,6,Carrier E,20.46,Supplier 2,Delhi,238,14,14.47,Pass,1.937,Rail,Route B,463.23,Fall,1.05013660966
skincare,SKU66,22.33,89,39.0,6.770640330226262,Unknown,3.7612001156935624,28,48,4,Carrier C,59.61,Supplier 1,Delhi,789,8,18.3,Fail,3.117,Air,Route A,113.54,Winter,1.4852285654407575
haircare,SKU22,24.66,22,13.0,5.773246346316266,Male,3.1354942159291497,25,9,9,Carrier B,32.31,Supplier 1,Mumbai,321,18,45.29,Pass,1.744,Road,Route B,390.89,Summer,1.5556604102428964
skincare,SKU16,58.95,114,9.0,6.275797266734614,Non-binary,4.110873864173311,20,4,6,Carrier D,46.73,Supplier 1,Mumbai,244,19,18.32,Pending,4.422,Rail,Route A,412.91,Fall,1.0567237268547154
skincare,SKU100,26.92,98,85.0,7.735957690534947,Male,3.6888794541139363,18,41,5,Carrier C,82.75,Supplier 2,Mumbai,467,12,10.33,Pending,2.497,Air,Route A,116.64,Fall,0.9592322795848562
skincare,SKU0,44.28,67,22.0,6.882601560098597,Unknown,3.332204510175204,26,27,6,Carrier B,27.41,Supplier 3,Bangalore,671,15,29.68,Pending,2.051,Road,Route B,218.41,Winter,1.238144925156189
skincare,SKU39,59.17,25,18.0,6.971724888320075,Male,2.4849066497880004,23,11,5,Carrier C,66.09,Supplier 3,Delhi,227,11,16.61,Pending,3.418,Air,Route B,359.57,Winter,1.4165425333463353
haircare,SKU2,34.96,167,110.0,8.254944920221266,Male,5.056245805348308,7,32,5,Carrier C,87.93,Supplier 3,Mumbai,837,16,35.45,Fail,3.466,Air,Route B,130.65,Summer,1.3011578479827015
skincare,SKU23,92.77,49,35.0,8.085779307074409,Unknown,2.833213344056216,25,44,10,Carrier A,37.6,Supplier 3,Delhi,844,19,10.76,Pass,0.188,Road,Route A,221.89,Winter,1.458637942019212
skincare,SKU47,78.14,174,146.0,9.217922868034115,Unknown,4.204692619390966,23,41,5,Carrier C,89.08,Supplier 1,Mumbai,465,11,35.48,Pending,2.179,Air,Route B,431.08,Fall,1.100807642510286
haircare,SKU82,24.97,192,90.0,7.717929654066957,Female,5.093750200806762,24,37,7,Carrier E,31.25,Supplier 3,Bangalore,549,6,18.2,Pass,1.062,Rail,Route B,433.6,Fall,1.1055371443137472
haircare,SKU0,13.53,47,13.0,5.1755280704554165,Male,3.58351893845611,22,25,7,Carrier B,9.38,Supplier 1,Bangalore,348,7,25.33,Fail,3.244,Road,Route B,230.46,Summer,1.5090284164533234
haircare,SKU18,19.73,185,14.0,5.624811414785207,Female,3.4011973816621555,10,18,9,Carrier A,20.54,Supplier 2,Mumbai,315,10,30.19,Pending,3.102,Road,Route B,189.51,Winter,1.2984554051854764
haircare,SKU52,42.41,78,42.0,7.485615057200715,Non-binary,4.0943445622221,9,45,7,Carrier B,11.02,Supplier 1,Mumbai,766,6,39.51,Fail,4.141,Road,Route B,125.59,Spring,0.817052931708309
haircare,SKU71,41.93,164,9.0,5.935872552850872,Non-binary,3.8501476017100584,24,31,1,Carrier C,59.48,Supplier 3,Delhi,724,10,38.11,Pending,3.541,Air,Route A,108.26,Winter,1.210409650800874
haircare,SKU12,40.65,138,124.0,8.52547877100301,Female,4.919980925828125,22,20,3,Carrier C,72.19,Supplier 2,Mumbai,118,16,25.86,Pass,1.308,Air,Route A,139.24,Summer,1.4955304298624064
skincare,SKU60,90.74,79,11.0,6.906894908969981,Unknown,3.295836866004329,17,26,4,Carrier C,86.87,Supplier 2,Bangalore,247,9,33.85,Pending,3.716,Air,Route C,290.91,Summer,1.592422250444271
skincare,SKU72,38.77,174,16.0,6.431846247119706,Unknown,4.955827057601261,29,27,10,Carrier A,7.2,Supplier 1,Bangalore,737,19,42.53,Fail,3.363,Road,Route C,430.47,Spring,1.077694788542317
skincare,SKU26,83.15,54,52.0,8.372121175522183,Male,2.995732273553991,28,13,4,Carrier E,42.53,Supplier 2,Mumbai,123,9,14.12,Pending,4.042,Rail,Route A,201.18,Fall,0.9146894971651032
